corpus_id,corpus_label,organization_lineage,standards_edition,evaluation_role,run_id,case_id,comparison_id,case_kind,parent_case_id,valid_output,parse_status,truth_evidence_sufficient,evidence_sufficient_probability,evidence_sufficient_prediction,binary_prediction_correct,truth_relation,relation_prediction,relation_prediction_correct
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-COPIED-REQUIREMENT,CMP-M3B-HIST-ARA,ADVERSE_CONTROL,FC-M3B-ARA,True,PASS,False,5.384940217751136e-13,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-FUTURE-REVIEW,CMP-M3B-HIST-ARA,ADVERSE_CONTROL,FC-M3B-ARA,True,PASS,False,1.958514000957548e-11,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-MISSING-VENDOR,CMP-CI5B-TESTS-RMS,ADVERSE_CONTROL,FC-CI5B-RMS,True,PASS,False,3.4715491303421526e-10,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-NO-CHANGE-WRONG-DIMENSION,CMP-M3B-HIST-ARA,ADVERSE_CONTROL,FC-M3B-ARA,True,PASS,False,2.197391809518152e-12,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-SCRUTINY-NOT-CHANGE,CMP-M3B-HIST-RMS,ADVERSE_CONTROL,FC-M3B-RMS,True,PASS,False,4.1461741724725817e-11,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,ADV-WRONG-SCOPE,CMP-M3B-HIST-ARA,ADVERSE_CONTROL,FC-M3B-ARA,True,PASS,False,2.312550272688699e-10,False,True,,,
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-CI5B-ARA,CMP-CI5B-TESTS-ARA,PRIMARY,,True,PASS,True,0.45326184801538616,False,False,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-CI5B-RMS,CMP-CI5B-TESTS-RMS,PRIMARY,,True,PASS,True,0.9999994796426467,True,True,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-M3B-ARA,CMP-M3B-HIST-ARA,PRIMARY,,True,PASS,True,3.8891114210091253e-08,False,False,ALIGNED,PARTIALLY_ALIGNED,False
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-M3B-RMS,CMP-M3B-HIST-RMS,PRIMARY,,True,PASS,True,0.99966464996832,True,True,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-S1B-ARA,CMP-S1B-GOF-ARA,PRIMARY,,True,PASS,True,0.9343951602572964,True,True,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-S1B-RMS,CMP-S1B-GOF-RMS,PRIMARY,,True,PASS,True,0.9999962733611601,True,True,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-V1A-ARA,CMP-V1A-BASIS-ARA,PRIMARY,,True,PASS,True,0.9992445944029035,True,True,ALIGNED,ALIGNED,True
rms-ara-2019-development,RMS/ARA development,RMS and ARA,FCHLPM 2019,DEVELOPMENT,55276289,FC-V1A-RMS,CMP-V1A-BASIS-RMS,PRIMARY,,True,PASS,True,0.9999810748540134,True,True,ALIGNED,ALIGNED,True
impact-forecasting-2023,Impact Forecasting 2023,Impact Forecasting,FCHLPM 2023,INDEPENDENT_VALIDATION_1,55304728,ADV-IF23-COPIED-REQUIREMENT,CMP-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,ADVERSE_CONTROL,FC-IF23-M3B-HISTORICAL-LANDFALL-OUTPUT,True,PASS,False,2.0206839089813854e-11,False,True,,,
